# Time(a.u.)  Energy(a.u.)  mu_x(a.u.)  mu_y(a.u.)  mu_z(a.u.)
1.5200000000E+00 -9.2211021817E+01 3.3964727909E-04 3.3964727907E-04 9.1474719044E-01
1.5600000000E+00 -9.2211021818E+01 3.4258743104E-04 3.4258743102E-04 9.1475045101E-01
1.6000000000E+00 -9.2211021819E+01 3.4467571330E-04 3.4467571329E-04 9.1475282652E-01
1.6400000000E+00 -9.2211021821E+01 3.4674877945E-04 3.4674877944E-04 9.1475505737E-01
1.6800000000E+00 -9.2211021822E+01 3.4958195283E-04 3.4958195281E-04 9.1475727835E-01
1.7200000000E+00 -9.2211021823E+01 3.5369358990E-04 3.5369358988E-04 9.1475901181E-01
1.7600000000E+00 -9.2211021824E+01 3.5922155924E-04 3.5922155922E-04 9.1475932994E-01
1.8000000000E+00 -9.2211021824E+01 3.6590415893E-04 3.6590415892E-04 9.1475713468E-01
1.8400000000E+00 -9.2211021825E+01 3.7316745132E-04 3.7316745130E-04 9.1475147058E-01
1.8800000000E+00 -9.2211021826E+01 3.8029066922E-04 3.8029066920E-04 9.1474177981E-01
1.9200000000E+00 -9.2211021826E+01 3.8660005832E-04 3.8660005830E-04 9.1472803046E-01
1.9600000000E+00 -9.2211021827E+01 3.9163542811E-04 3.9163542809E-04 9.1471069121E-01
2.0000000000E+00 -9.2211021827E+01 3.9524424642E-04 3.9524424640E-04 9.1469057355E-01
2.0400000000E+00 -9.2211021827E+01 3.9758170124E-04 3.9758170122E-04 9.1466860061E-01
2.0800000000E+00 -9.2211021827E+01 3.9902423772E-04 3.9902423770E-04 9.1464557884E-01
2.1200000000E+00 -9.2211021828E+01 4.0002960900E-04 4.0002960897E-04 9.1462203943E-01
2.1600000000E+00 -9.2211021828E+01 4.0099071219E-04 4.0099071217E-04 9.1459818707E-01
2.2000000000E+00 -9.2211021828E+01 4.0212936090E-04 4.0212936088E-04 9.1457395400E-01
2.2400000000E+00 -9.2211021828E+01 4.0346051283E-04 4.0346051280E-04 9.1454912276E-01
2.2800000000E+00 -9.2211021827E+01 4.0483272159E-04 4.0483272157E-04 9.1452346216E-01
2.3200000000E+00 -9.2211021827E+01 4.0602489342E-04 4.0602489340E-04 9.1449682393E-01
2.3600000000E+00 -9.2211021827E+01 4.0686113732E-04 4.0686113730E-04 9.1446916963E-01
2.4000000000E+00 -9.2211021827E+01 4.0730043459E-04 4.0730043456E-04 9.1444052879E-01
2.4400000000E+00 -9.2211021826E+01 4.0746750899E-04 4.0746750897E-04 9.1441091887E-01
2.4800000000E+00 -9.2211021825E+01 4.0761234654E-04 4.0761234652E-04 9.1438027277E-01
2.5200000000E+00 -9.2211021824E+01 4.0801127234E-04 4.0801127232E-04 9.1434841574E-01
2.5600000000E+00 -9.2211021823E+01 4.0884387199E-04 4.0884387196E-04 9.1431511232E-01
2.6000000000E+00 -9.2211021822E+01 4.1009015953E-04 4.1009015951E-04 9.1428017292E-01
2.6400000000E+00 -9.2211021821E+01 4.1148766848E-04 4.1148766845E-04 9.1424358163E-01
2.6800000000E+00 -9.2211021820E+01 4.1256979799E-04 4.1256979796E-04 9.1420559279E-01
2.7200000000E+00 -9.2211021819E+01 4.1278046145E-04 4.1278046142E-04 9.1416674924E-01
2.7600000000E+00 -9.2211021818E+01 4.1163422240E-04 4.1163422237E-04 9.1412779982E-01
2.8000000000E+00 -9.2211021816E+01 4.0887407753E-04 4.0887407750E-04 9.1408952885E-01
2.8400000000E+00 -9.2211021814E+01 4.0457663253E-04 4.0457663250E-04 9.1405254374E-01
2.8800000000E+00 -9.2211021813E+01 3.9916787409E-04 3.9916787406E-04 9.1401708655E-01
2.9200000000E+00 -9.2211021811E+01 3.9333833769E-04 3.9333833766E-04 9.1398293356E-01
2.9600000000E+00 -9.2211021810E+01 3.8787657516E-04 3.8787657513E-04 9.1394942269E-01
3.0000000000E+00 -9.2211021808E+01 3.8346523476E-04 3.8346523473E-04 9.1391561010E-01
3.0400000000E+00 -9.2211021807E+01 3.8049685136E-04 3.8049685133E-04 9.1388051636E-01
3.0800000000E+00 -9.2211021805E+01 3.7896243014E-04 3.7896243010E-04 9.1384339257E-01
3.1200000000E+00 -9.2211021803E+01 3.7844600555E-04 3.7844600551E-04 9.1380392864E-01
3.1600000000E+00 -9.2211021801E+01 3.7822833864E-04 3.7822833861E-04 9.1376234199E-01
3.2000000000E+00 -9.2211021800E+01 3.7747167309E-04 3.7747167305E-04 9.1371932027E-01
3.2400000000E+00 -9.2211021798E+01 3.7543431857E-04 3.7543431853E-04 9.1367583561E-01
3.2800000000E+00 -9.2211021797E+01 3.7165566157E-04 3.7165566153E-04 9.1363288580E-01
3.3200000000E+00 -9.2211021795E+01 3.6606138950E-04 3.6606138946E-04 9.1359123783E-01
3.3600000000E+00 -9.2211021794E+01 3.5896238942E-04 3.5896238938E-04 9.1355124624E-01
3.4000000000E+00 -9.2211021792E+01 3.5095174393E-04 3.5095174389E-04 9.1351279272E-01
3.4400000000E+00 -9.2211021791E+01 3.4273317100E-04 3.4273317096E-04 9.1347535570E-01
3.4800000000E+00 -9.2211021790E+01 3.3493256280E-04 3.3493256276E-04 9.1343817933E-01
3.5200000000E+00 -9.2211021788E+01 3.2794674168E-04 3.2794674164E-04 9.1340048469E-01
3.5600000000E+00 -9.2211021788E+01 3.2186985133E-04 3.2186985129E-04 9.1336165907E-01
3.6000000000E+00 -9.2211021787E+01 3.1651255394E-04 3.1651255390E-04 9.1332137243E-01
3.6400000000E+00 -9.2211021786E+01 3.1150046569E-04 3.1150046564E-04 9.1327959885E-01
3.6800000000E+00 -9.2211021785E+01 3.0641497959E-04 3.0641497955E-04 9.1323655304E-01
3.7200000000E+00 -9.2211021784E+01 3.0092884405E-04 3.0092884401E-04 9.1319257738E-01
3.7600000000E+00 -9.2211021783E+01 2.9489356303E-04 2.9489356299E-04 9.1314802559E-01
3.8000000000E+00 -9.2211021783E+01 2.8835390276E-04 2.8835390271E-04 9.1310318210E-01
3.8400000000E+00 -9.2211021782E+01 2.8149032277E-04 2.8149032272E-04 9.1305823590E-01
3.8800000000E+00 -9.2211021782E+01 2.7451456986E-04 2.7451456981E-04 9.1301330313E-01
3.9200000000E+00 -9.2211021782E+01 2.6755903836E-04 2.6755903831E-04 9.1296847290E-01
3.9600000000E+00 -9.2211021781E+01 2.6060188718E-04 2.6060188713E-04 9.1292384343E-01
4.0000000000E+00 -9.2211021780E+01 2.5345696861E-04 2.5345696856E-04 9.1287952360E-01
4.0400000000E+00 -9.2211021780E+01 2.4583469469E-04 2.4583469464E-04 9.1283559312E-01
4.0800000000E+00 -9.2211021779E+01 2.3745464474E-04 2.3745464469E-04 9.1279203677E-01
4.1200000000E+00 -9.2211021779E+01 2.2817142745E-04 2.2817142740E-04 9.1274868430E-01
4.1600000000E+00 -9.2211021779E+01 2.1806858754E-04 2.1806858749E-04 9.1270519044E-01
4.2000000000E+00 -9.2211021779E+01 2.0748370596E-04 2.0748370591E-04 9.1266107819E-01
4.2400000000E+00 -9.2211021779E+01 1.9694893024E-04 1.9694893019E-04 9.1261584553E-01
4.2800000000E+00 -9.2211021778E+01 1.8705845808E-04 1.8705845803E-04 9.1256911034E-01
4.3200000000E+00 -9.2211021778E+01 1.7829930952E-04 1.7829930946E-04 9.1252074912E-01
4.3600000000E+00 -9.2211021777E+01 1.7089598208E-04 1.7089598202E-04 9.1247098118E-01
4.4000000000E+00 -9.2211021777E+01 1.6471838285E-04 1.6471838280E-04 9.1242036256E-01
4.4400000000E+00 -9.2211021777E+01 1.5928564427E-04 1.5928564421E-04 9.1236968064E-01
4.4800000000E+00 -9.2211021777E+01 1.5387082966E-04 1.5387082960E-04 9.1231977231E-01
4.5200000000E+00 -9.2211021777E+01 1.4768137516E-04 1.4768137510E-04 9.1227131505E-01
4.5600000000E+00 -9.2211021776E+01 1.4006661100E-04 1.4006661094E-04 9.1222465156E-01
4.6000000000E+00 -9.2211021776E+01 1.3069418367E-04 1.3069418361E-04 9.1217970149E-01
4.6400000000E+00 -9.2211021776E+01 1.1964480845E-04 1.1964480839E-04 9.1213598851E-01
4.6800000000E+00 -9.2211021776E+01 1.0739747796E-04 1.0739747790E-04 9.1209277681E-01
4.7200000000E+00 -9.2211021776E+01 9.4708390043E-05 9.4708389981E-05 9.1204927820E-01
4.7600000000E+00 -9.2211021776E+01 8.2417191895E-05 8.2417191831E-05 9.1200487002E-01
4.8000000000E+00 -9.2211021776E+01 7.1234641158E-05 7.1234641094E-05 9.1195926214E-01
4.8400000000E+00 -9.2211021777E+01 6.1570397090E-05 6.1570397025E-05 9.1191256814E-01
4.8800000000E+00 -9.2211021777E+01 5.3447125976E-05 5.3447125910E-05 9.1186526596E-01
4.9200000000E+00 -9.2211021777E+01 4.6521350871E-05 4.6521350805E-05 9.1181806654E-01
4.9600000000E+00 -9.2211021778E+01 4.0200357461E-05 4.0200357394E-05 9.1177173486E-01
5.0000000000E+00 -9.2211021778E+01 3.3817360592E-05 3.3817360525E-05 9.1172691797E-01
5.0400000000E+00 -9.2211021779E+01 2.6812053009E-05 2.6812052941E-05 9.1168402712E-01
5.0800000000E+00 -9.2211021780E+01 1.8864817200E-05 1.8864817131E-05 9.1164319934E-01
5.1200000000E+00 -9.2211021781E+01 9.9494654519E-06 9.9494653820E-06 9.1160433652E-01
5.1600000000E+00 -9.2211021782E+01 2.9585784884E-07 2.9585777809E-07 9.1156719577E-01
5.2000000000E+00 -9.2211021784E+01 -9.7183156324E-06 -9.7183157039E-06 9.1153149305E-01
5.2400000000E+00 -9.2211021785E+01 -1.9706616843E-05 -1.9706616915E-05 9.1149698442E-01
5.2800000000E+00 -9.2211021786E+01 -2.9396635889E-05 -2.9396635962E-05 9.1146350445E-01
5.3200000000E+00 -9.2211021787E+01 -3.8697444307E-05 -3.8697444381E-05 9.1143096191E-01
5.3600000000E+00 -9.2211021789E+01 -4.7693167482E-05 -4.7693167556E-05 9.1139931113E-01
5.4000000000E+00 -9.2211021791E+01 -5.6569980616E-05 -5.6569980690E-05 9.1136852551E-01
5.4400000000E+00 -9.2211021793E+01 -6.5506561963E-05 -6.5506562039E-05 9.1133859523E-01
5.4800000000E+00 -9.2211021794E+01 -7.4570215972E-05 -7.4570216048E-05 9.1130955656E-01
5.5200000000E+00 -9.2211021796E+01 -8.3658576083E-05 -8.3658576160E-05 9.1128154140E-01
5.5600000000E+00 -9.2211021797E+01 -9.2510817644E-05 -9.2510817722E-05 9.1125482102E-01
5.6000000000E+00 -9.2211021799E+01 -1.0078793190E-04 -1.0078793198E-04 9.1122981441E-01
5.6400000000E+00 -9.2211021801E+01 -1.0819688403E-04 -1.0819688411E-04 9.1120704123E-01
5.6800000000E+00 -9.2211021802E+01 -1.1461664046E-04 -1.1461664054E-04 9.1118701914E-01
5.7200000000E+00 -9.2211021804E+01 -1.2018087022E-04 -1.2018087030E-04 9.1117012888E-01
5.7600000000E+00 -9.2211021805E+01 -1.2528401279E-04 -1.2528401287E-04 9.1115648804E-01
5.8000000000E+00 -9.2211021806E+01 -1.3050090638E-04 -1.3050090646E-04 9.1114587868E-01
5.8400000000E+00 -9.2211021808E+01 -1.3643800660E-04 -1.3643800668E-04 9.1113776232E-01
5.8800000000E+00 -9.2211021809E+01 -1.4355755608E-04 -1.4355755616E-04 9.1113139056E-01
5.9200000000E+00 -9.2211021810E+01 -1.5202728102E-04 -1.5202728110E-04 9.1112598836E-01
5.9600000000E+00 -9.2211021811E+01 -1.6164333932E-04 -1.6164333940E-04 9.1112096149E-01
6.0000000000E+00 -9.2211021812E+01 -1.7185434438E-04 -1.7185434446E-04 9.1111606732E-01
6.0400000000E+00 -9.2211021813E+01 -1.8188508499E-04 -1.8188508508E-04 9.1111149556E-01
6.0800000000E+00 -9.2211021813E+01 -1.9092880868E-04 -1.9092880877E-04 9.1110783061E-01
6.1200000000E+00 -9.2211021814E+01 -1.9835571542E-04 -1.9835571550E-04 9.1110590198E-01
6.1600000000E+00 -9.2211021814E+01 -2.0387922647E-04 -2.0387922655E-04 9.1110656370E-01
6.2000000000E+00 -9.2211021814E+01 -2.0763271357E-04 -2.0763271366E-04 9.1111046552E-01
6.2400000000E+00 -9.2211021815E+01 -2.1013455133E-04 -2.1013455142E-04 9.1111788150E-01
6.2800000000E+00 -9.2211021815E+01 -2.1215116307E-04 -2.1215116316E-04 9.1112864380E-01
6.3200000000E+00 -9.2211021815E+01 -2.1449671387E-04 -2.1449671396E-04 9.1114219714E-01
6.3600000000E+00 -9.2211021815E+01 -2.1782565970E-04 -2.1782565979E-04 9.1115775300E-01
6.4000000000E+00 -9.2211021815E+01 -2.2247535801E-04 -2.2247535810E-04 9.1117449364E-01
6.4400000000E+00 -9.2211021814E+01 -2.2840026701E-04 -2.2840026710E-04 9.1119176424E-01
6.4800000000E+00 -9.2211021814E+01 -2.3521182008E-04 -2.3521182017E-04 9.1120919907E-01
6.5200000000E+00 -9.2211021814E+01 -2.4230725104E-04 -2.4230725113E-04 9.1122675258E-01
6.5600000000E+00 -9.2211021813E+01 -2.4904574994E-04 -2.4904575003E-04 9.1124463822E-01
6.6000000000E+00 -9.2211021813E+01 -2.5491867030E-04 -2.5491867039E-04 9.1126320664E-01
6.6400000000E+00 -9.2211021812E+01 -2.5966523216E-04 -2.5966523225E-04 9.1128281089E-01
6.6800000000E+00 -9.2211021812E+01 -2.6330433571E-04 -2.6330433580E-04 9.1130370394E-01
6.7200000000E+00 -9.2211021812E+01 -2.6608037781E-04 -2.6608037791E-04 9.1132599649E-01
6.7600000000E+00 -9.2211021812E+01 -2.6834764652E-04 -2.6834764661E-04 9.1134967665E-01
6.8000000000E+00 -9.2211021812E+01 -2.7043564033E-04 -2.7043564043E-04 9.1137466857E-01
6.8400000000E+00 -9.2211021811E+01 -2.7254118836E-04 -2.7254118845E-04 9.1140089403E-01
6.8800000000E+00 -9.2211021811E+01 -2.7468182026E-04 -2.7468182035E-04 9.1142830252E-01
6.9200000000E+00 -9.2211021811E+01 -2.7672251398E-04 -2.7672251408E-04 9.1145685295E-01
6.9600000000E+00 -9.2211021811E+01 -2.7846222651E-04 -2.7846222661E-04 9.1148645372E-01
7.0000000000E+00 -9.2211021811E+01 -2.7974598060E-04 -2.7974598070E-04 9.1151689034E-01
7.0400000000E+00 -9.2211021811E+01 -2.8055950592E-04 -2.8055950601E-04 9.1154778027E-01
7.0800000000E+00 -9.2211021811E+01 -2.8106938563E-04 -2.8106938572E-04 9.1157858824E-01
7.1200000000E+00 -9.2211021811E+01 -2.8159039851E-04 -2.8159039861E-04 9.1160871486E-01
7.1600000000E+00 -9.2211021810E+01 -2.8248713544E-04 -2.8248713554E-04 9.1163764158E-01
7.2000000000E+00 -9.2211021811E+01 -2.8404064447E-04 -2.8404064456E-04 9.1166508939E-01
7.2400000000E+00 -9.2211021811E+01 -2.8632491222E-04 -2.8632491232E-04 9.1169113574E-01
7.2800000000E+00 -9.2211021811E+01 -2.8913752501E-04 -2.8913752511E-04 9.1171624052E-01
7.3200000000E+00 -9.2211021811E+01 -2.9201359820E-04 -2.9201359830E-04 9.1174115742E-01
7.3600000000E+00 -9.2211021811E+01 -2.9432652094E-04 -2.9432652103E-04 9.1176674354E-01
7.4000000000E+00 -9.2211021812E+01 -2.9545114728E-04 -2.9545114738E-04 9.1179371550E-01
7.4400000000E+00 -9.2211021812E+01 -2.9494363270E-04 -2.9494363280E-04 9.1182242301E-01
7.4800000000E+00 -9.2211021811E+01 -2.9268417710E-04 -2.9268417720E-04 9.1185271100E-01
7.5200000000E+00 -9.2211021811E+01 -2.8893741389E-04 -2.8893741399E-04 9.1188391859E-01
7.5600000000E+00 -9.2211021811E+01 -2.8430792471E-04 -2.8430792480E-04 9.1191502325E-01
7.6000000000E+00 -9.2211021811E+01 -2.7959872850E-04 -2.7959872859E-04 9.1194489391E-01
7.6400000000E+00 -9.2211021811E+01 -2.7560947641E-04 -2.7560947650E-04 9.1197258229E-01
7.6800000000E+00 -9.2211021811E+01 -2.7292967628E-04 -2.7292967638E-04 9.1199756828E-01
7.7200000000E+00 -9.2211021811E+01 -2.7178479686E-04 -2.7178479696E-04 9.1201988800E-01
7.7600000000E+00 -9.2211021810E+01 -2.7197861581E-04 -2.7197861591E-04 9.1204010825E-01
7.8000000000E+00 -9.2211021810E+01 -2.7294788269E-04 -2.7294788279E-04 9.1205915752E-01
7.8400000000E+00 -9.2211021809E+01 -2.7391335947E-04 -2.7391335957E-04 9.1207806635E-01
7.8800000000E+00 -9.2211021809E+01 -2.7408409414E-04 -2.7408409424E-04 9.1209769544E-01
7.9200000000E+00 -9.2211021808E+01 -2.7285742264E-04 -2.7285742274E-04 9.1211853055E-01
7.9600000000E+00 -9.2211021808E+01 -2.6995980727E-04 -2.6995980736E-04 9.1214059884E-01
8.0000000000E+00 -9.2211021807E+01 -2.6549218528E-04 -2.6549218537E-04 9.1216352117E-01
8.0400000000E+00 -9.2211021806E+01 -2.5987219868E-04 -2.5987219877E-04 9.1218667202E-01
8.0800000000E+00 -9.2211021806E+01 -2.5369571261E-04 -2.5369571271E-04 9.1220938744E-01
8.1200000000E+00 -9.2211021805E+01 -2.4756235941E-04 -2.4756235951E-04 9.1223115179E-01
8.1600000000E+00 -9.2211021804E+01 -2.4191794722E-04 -2.4191794732E-04 9.1225170767E-01
8.2000000000E+00 -9.2211021803E+01 -2.3695841430E-04 -2.3695841440E-04 9.1227106516E-01
8.2400000000E+00 -9.2211021802E+01 -2.3261860750E-04 -2.3261860760E-04 9.1228942378E-01
8.2800000000E+00 -9.2211021801E+01 -2.2864155717E-04 -2.2864155727E-04 9.1230705048E-01
8.3200000000E+00 -9.2211021800E+01 -2.2469892295E-04 -2.2469892304E-04 9.1232416855E-01
8.3600000000E+00 -9.2211021799E+01 -2.2051868898E-04 -2.2051868907E-04 9.1234090306E-01
8.4000000000E+00 -9.2211021798E+01 -2.1597633571E-04 -2.1597633581E-04 9.1235730113E-01
8.4400000000E+00 -9.2211021797E+01 -2.1112017577E-04 -2.1112017587E-04 9.1237341201E-01
8.4800000000E+00 -9.2211021796E+01 -2.0612530179E-04 -2.0612530188E-04 9.1238938513E-01
8.5200000000E+00 -9.2211021795E+01 -2.0119571263E-04 -2.0119571272E-04 9.1240553408E-01
8.5600000000E+00 -9.2211021795E+01 -1.9645235336E-04 -1.9645235345E-04 9.1242232593E-01
8.6000000000E+00 -9.2211021794E+01 -1.9185002497E-04 -1.9185002506E-04 9.1244028428E-01
8.6400000000E+00 -9.2211021793E+01 -1.8715662735E-04 -1.8715662744E-04 9.1245983016E-01
8.6800000000E+00 -9.2211021792E+01 -1.8200703907E-04 -1.8200703916E-04 9.1248111466E-01
8.7200000000E+00 -9.2211021791E+01 -1.7601799682E-04 -1.7601799691E-04 9.1250390804E-01
8.7600000000E+00 -9.2211021790E+01 -1.6892815023E-04 -1.6892815032E-04 9.1252759796E-01
8.8000000000E+00 -9.2211021789E+01 -1.6071647424E-04 -1.6071647433E-04 9.1255131577E-01
8.8400000000E+00 -9.2211021788E+01 -1.5165636046E-04 -1.5165636055E-04 9.1257416645E-01
8.8800000000E+00 -9.2211021786E+01 -1.4228110750E-04 -1.4228110759E-04 9.1259549926E-01
8.9200000000E+00 -9.2211021785E+01 -1.3326370362E-04 -1.3326370371E-04 9.1261513539E-01
8.9600000000E+00 -9.2211021784E+01 -1.2524132718E-04 -1.2524132727E-04 9.1263347632E-01
9.0000000000E+00 -9.2211021783E+01 -1.1863414837E-04 -1.1863414845E-04 9.1265144879E-01
9.0400000000E+00 -9.2211021781E+01 -1.1351250558E-04 -1.1351250567E-04 9.1267029187E-01
9.0800000000E+00 -9.2211021780E+01 -1.0955451423E-04 -1.0955451431E-04 9.1269124130E-01
9.1200000000E+00 -9.2211021779E+01 -1.0611090553E-04 -1.0611090562E-04 9.1271520081E-01
9.1600000000E+00 -9.2211021778E+01 -1.0236281016E-04 -1.0236281025E-04 9.1274249693E-01
9.2000000000E+00 -9.2211021776E+01 -9.7530629824E-05 -9.7530629907E-05 9.1277279074E-01
9.2400000000E+00 -9.2211021775E+01 -9.1076468221E-05 -9.1076468304E-05 9.1280517324E-01
9.2800000000E+00 -9.2211021773E+01 -8.2843676454E-05 -8.2843676536E-05 9.1283841607E-01
9.3200000000E+00 -9.2211021772E+01 -7.3094716369E-05 -7.3094716449E-05 9.1287130267E-01
9.3600000000E+00 -9.2211021770E+01 -6.2437558970E-05 -6.2437559050E-05 9.1290294250E-01
9.4000000000E+00 -9.2211021768E+01 -5.1662580028E-05 -5.1662580107E-05 9.1293297857E-01
9.4400000000E+00 -9.2211021767E+01 -4.1536956023E-05 -4.1536956102E-05 9.1296163390E-01
9.4800000000E+00 -9.2211021765E+01 -3.2614536687E-05 -3.2614536765E-05 9.1298959364E-01
9.5200000000E+00 -9.2211021764E+01 -2.5113012911E-05 -2.5113012988E-05 9.1301776924E-01
9.5600000000E+00 -9.2211021762E+01 -1.8889048345E-05 -1.8889048421E-05 9.1304702414E-01
9.6000000000E+00 -9.2211021761E+01 -1.3512534851E-05 -1.3512534927E-05 9.1307794588E-01
9.6400000000E+00 -9.2211021760E+01 -8.4123193103E-06 -8.4123193849E-06 9.1311072805E-01
9.6800000000E+00 -9.2211021758E+01 -3.0462985120E-06 -3.0462985858E-06 9.1314518450E-01
9.7200000000E+00 -9.2211021757E+01 2.9556875240E-06 2.9556874510E-06 9.1318087268E-01
9.7600000000E+00 -9.2211021756E+01 9.7163226319E-06 9.7163225599E-06 9.1321726934E-01
9.8000000000E+00 -9.2211021755E+01 1.7119548291E-05 1.7119548220E-05 9.1325392970E-01
9.8400000000E+00 -9.2211021754E+01 2.4893002472E-05 2.4893002402E-05 9.1329057480E-01
9.8800000000E+00 -9.2211021754E+01 3.2730692179E-05 3.2730692110E-05 9.1332708455E-01
9.9200000000E+00 -9.2211021754E+01 4.0411223226E-05 4.0411223158E-05 9.1336341303E-01
9.9600000000E+00 -9.2211021754E+01 4.7870696101E-05 4.7870696034E-05 9.1339947354E-01
1.0000000000E+01 -9.2211021754E+01 5.5206584643E-05 5.5206584577E-05 9.1343505212E-01
1.0040000000E+01 -9.2211021754E+01 6.2613675024E-05 6.2613674958E-05 9.1346979559E-01
1.0080000000E+01 -9.2211021755E+01 7.0277199739E-05 7.0277199675E-05 9.1350328880E-01
1.0120000000E+01 -9.2211021756E+01 7.8263677265E-05 7.8263677202E-05 9.1353519736E-01
1.0160000000E+01 -9.2211021757E+01 8.6451532949E-05 8.6451532886E-05 9.1356542114E-01
1.0200000000E+01 -9.2211021758E+01 9.4530705620E-05 9.4530705558E-05 9.1359419308E-01
1.0240000000E+01 -9.2211021760E+01 1.0207723390E-04 1.0207723384E-04 9.1362207168E-01
1.0280000000E+01 -9.2211021762E+01 1.0868279127E-04 1.0868279121E-04 9.1364981060E-01
1.0320000000E+01 -9.2211021764E+01 1.1409885551E-04 1.1409885545E-04 9.1367813320E-01
1.0360000000E+01 -9.2211021766E+01 1.1834749862E-04 1.1834749856E-04 9.1370747759E-01
1.0400000000E+01 -9.2211021768E+01 1.2175857718E-04 1.2175857712E-04 9.1373779543E-01
1.0440000000E+01 -9.2211021771E+01 1.2491437380E-04 1.2491437375E-04 9.1376847750E-01
1.0480000000E+01 -9.2211021774E+01 1.2851111206E-04 1.2851111201E-04 9.1379844284E-01
1.0520000000E+01 -9.2211021777E+01 1.3317345268E-04 1.3317345263E-04 9.1382637770E-01
1.0560000000E+01 -9.2211021780E+01 1.3927461757E-04 1.3927461752E-04 9.1385106125E-01
1.0600000000E+01 -9.2211021783E+01 1.4681571161E-04 1.4681571156E-04 9.1387168426E-01
1.0640000000E+01 -9.2211021786E+01 1.5540240193E-04 1.5540240188E-04 9.1388806494E-01
1.0680000000E+01 -9.2211021789E+01 1.6432969688E-04 1.6432969683E-04 9.1390069478E-01
